Model info
==========
Mesh file: Tutan_500k_tex.ply (VN 256699, FN 500000)
Texture files:
  Tutan_tex.png

Parameterization info
=====================
Number of charts: 2818
    ID    faces      perc_3D      perc_UV   resolution    n_adj
   114       10  2.11668e-06  1.02975e-06      6.42505        2
   115        1  3.60492e-07  3.28172e-08     0.204759        2
   116       11  5.01591e-06  1.39575e-06      8.70864        2
   117       30  2.13543e-05  7.80118e-06      48.6746        3
   118       28  1.55163e-05   5.2581e-06      32.8074        3
   119        2  2.31135e-07  8.27477e-08     0.516295        1
   120        1  7.85356e-07  1.47378e-07     0.919549        2
   121        3  1.33725e-06  1.08345e-06      6.76007        1
   122       14   9.6805e-06  1.07475e-05      67.0578        2
   123       40  1.50024e-05            0            0        2
   124       71  2.89876e-05  2.55291e-05      159.286        2
   125        1  2.91953e-07  6.78117e-08     0.423104        2
   126        1  9.67482e-07  3.07087e-07      1.91604        2
   127       55   5.1115e-05  5.88871e-05       367.42        2
   128        3  5.55849e-06  6.19995e-06      38.6839        1
   129        5  7.70845e-06  7.02197e-06      43.8129        1
   130       36  3.49246e-05  3.78964e-05      236.451        2
   131        1  8.93773e-07  7.92953e-07      4.94755        2
   132       14  8.17724e-06  8.90864e-06      55.5845        1
   133       12  1.33745e-05  1.28472e-05      80.1588        1
   134       18  2.36278e-05  2.06934e-05      129.114        2
   135       43  2.63621e-05  2.47071e-05      154.157        1
   136        1  9.05809e-07  6.16301e-07      3.84534        2
   137       95  0.000158005  0.000155445      969.882        2
   138        5  4.56035e-06  3.31758e-06      20.6997        1
   139       50  6.20352e-05  3.27852e-05       204.56        2
   140       45  5.55146e-05   2.1521e-05      134.278        2
   141        1  6.93258e-07  3.09909e-07      1.93365        2
   142        2  3.76551e-06  1.41245e-06      8.81286        1
   143        1  1.09918e-06  2.39293e-07      1.49304        2
   144    30362    0.0672794    0.0708164       441852      144
   145       62  5.48028e-05  4.31709e-05       269.36        1
   146       27  1.77264e-05  1.65217e-05      103.086        1
   147      125  0.000109806  0.000103109      643.336        1
   148     1072   0.00135527   0.00116156       7247.4        8
   149     2236   0.00367928   0.00410611      25619.6       11
   150     1522   0.00202975   0.00196905      12285.7       19
