Model info
==========
Mesh file: bebetrex.obj (VN 302832, FN 604074)
Texture files:
  bebetrex.jpg

Parameterization info
=====================
Number of charts: 1479
    ID    faces      perc_3D      perc_UV   resolution    n_adj
   111        6  2.74635e-06  6.57663e-07      4.28602        4
   112        1  1.00445e-06  9.21354e-07      6.00452        3
   113        1  6.08951e-07   3.8101e-07      2.48306        2
   114        1  5.06495e-07  1.19411e-06       7.7821        3
   115        1  4.21409e-07  2.24145e-07      1.46076        3
   116        1  4.64289e-07  2.09887e-06      13.6785        3
   117        1   4.7969e-07  3.61871e-07      2.35833        3
   118       65  3.62467e-05  3.25064e-05      211.846        2
   119       11   6.5735e-06  4.44566e-06      28.9726        1
   120       24  8.73868e-06  5.23334e-06      34.1059        1
   121       40  1.73855e-05   1.1257e-05      73.3624        0
   122       38  2.28726e-05  1.17792e-05      76.7656        2
   123        9  5.06125e-06  3.57932e-06      23.3266        1
   124        1  6.84597e-07  7.01476e-08     0.457156        1
   125       56  3.21622e-05  1.87183e-05      121.988        4
   126       10  6.93963e-06  5.76848e-06      37.5935        1
   127        1  5.24036e-07  4.39227e-07      2.86247        1
   128        2  1.24597e-06  8.30577e-07      5.41292        1
   129        1  4.06905e-07  2.43742e-07      1.58848        1
   130       14  3.40528e-06  9.25997e-07      6.03477        0
   131       25  1.35257e-05  6.81803e-06      44.4335        1
   132       15  8.16257e-06  1.99542e-06      13.0042        1
   133        2  3.65396e-07  1.52642e-07     0.994777        0
   134       24  8.99386e-06  4.34001e-06      28.2841        0
   135        6  2.11822e-06  3.64096e-07      2.37283        0
   136        6  1.97979e-06  1.02071e-06      6.65199        0
   137        2  2.29546e-07  5.86662e-08      0.38233        0
   138        8  1.63767e-06  2.10666e-06      13.7292        0
   139        4  7.58656e-07  5.56874e-07      3.62918        0
   140       12  3.24851e-06  1.75339e-06       11.427        0
   141       16  4.69944e-06  2.32766e-06      15.1695        0
   142       44  2.43835e-05  9.46416e-06      61.6784        0
   143       52  3.18005e-05  1.96267e-05      127.908        1
   144       12  7.72268e-06  4.90878e-06      31.9908        1
   145        6  3.23698e-06  4.73579e-07      3.08634        0
   146        8  2.12254e-06   1.3898e-06      9.05742        0
   147       57  3.03419e-05  1.52321e-05      99.2686        1
   148        1  5.42705e-07  2.44268e-08     0.159191        1
   149       24  1.01819e-05  1.50102e-05      97.8222        0
   150       14  4.64652e-06  4.02613e-06      26.2385        0
   151       54  3.63195e-05  2.33551e-05      152.206        1
   152       30  1.72908e-05  1.14457e-05      74.5924        1
   153       16  5.58464e-06   1.3902e-06      9.05999        0
   154        2  2.02135e-07   1.0672e-07     0.695498        0
   155       14  4.94534e-06   9.7746e-06      63.7016        0
   156       20  8.99752e-06  9.61511e-06      62.6622        2
   157        8  3.21568e-06  1.50504e-06      9.80844        2
   158        2  6.31105e-07  2.70571e-07      1.76333        2
   159       54  3.67828e-05  2.17251e-05      141.584        3
   160        1  5.86924e-07  2.52289e-08     0.164418        1
   161        1  4.00131e-07  1.13859e-07     0.742022        1
   162       40  2.93391e-05  1.96096e-05      127.797        1
   163       26  1.11568e-05  1.27698e-05      83.2212        0
   164       16  5.92937e-06  5.93654e-06      38.6887        0
   165       20  1.02198e-05  8.80766e-06         57.4        1
   166       24   1.1308e-05  4.09548e-06      26.6905        1
   167       50  3.77446e-05  2.45429e-05      159.947        1
   168       42  4.16291e-05  2.74742e-05      179.051        1
   169     1961   0.00301071   0.00300925      19611.5       21
   170     6360    0.0109426    0.0109874      71605.3       14
   171     4927   0.00701728   0.00701903      45743.4       17
   172       34  1.74472e-05  1.28243e-05      83.5764        7
   173        1  2.71137e-07  6.99948e-08      0.45616        3
   174        1  3.43244e-07   1.6241e-07      1.05843        3
   175        2  9.33598e-07  7.79901e-07      5.08266        4
   176       81  6.25532e-05   5.6591e-05      368.807       11
   177       11  5.28626e-06  4.80051e-06      31.2852        3
   178       22  1.31785e-05  1.00534e-05      65.5182        6
   179      198  0.000165942  0.000155988      1016.58        4
   180        3  1.34683e-06  1.26365e-06       8.2353        3
   181      144  0.000153951  0.000149543       974.58        5
   182     3365   0.00465517   0.00462641      30150.5        6
   183        3  1.51284e-06  7.85393e-07      5.11845        3
   184        2   9.3292e-07   2.4206e-07      1.57752        3
   185     3836   0.00742886   0.00750708        48924       29
   186        2  2.32428e-06  3.24788e-07      2.11666        1
   187        1   5.3044e-07  4.51304e-07      2.94117        1
   188      107   9.8697e-05  9.40496e-05      612.926        5
   189        1  1.92145e-06  6.75099e-07      4.39966        1
   190        1  4.82985e-07  4.45473e-07      2.90317        2
   191        1  5.97469e-07  1.89758e-07      1.23666        3
   192        1  7.55531e-07  3.65477e-07      2.38183        2
   193        1  3.79041e-07  2.92813e-07      1.90828        2
   194        1  6.66328e-07  5.52527e-07      3.60085        2
   195        1  4.95085e-07  3.80308e-07      2.47849        2
   196        1  5.06873e-07  2.89423e-07      1.88619        2
   197        2  6.18956e-07  1.80994e-07      1.17955        3
   198        1  3.22295e-07  1.97405e-07       1.2865        2
   199      377  0.000874945   0.00088919       5794.9        4
   200    20445    0.0592714    0.0604653       394056       25
   201        1    3.708e-06  3.78729e-06       24.682        2
   202        1  7.04907e-07  4.07075e-07      2.65293        2
   203     8539    0.0164156    0.0166656       108611       13
   204        1  1.89465e-07  1.26445e-07     0.824047        1
   205     5430    0.0142826    0.0145782      95006.9       20
   206     5788   0.00738928   0.00731494      47671.9       10
   207     3046   0.00310288   0.00297901      19414.3       43
   208      657  0.000939627  0.000920424      5998.45        5
   209    35934     0.036689    0.0353371       230294       87
   210       21   1.7639e-05  1.69759e-05      110.633        2
   211       13  1.24783e-05  9.48937e-06      61.8427        5
   212        1   4.1071e-07  3.46509e-07      2.25822        2
   213       16  2.19182e-05  2.09366e-05      136.445        1
   214        1  1.89753e-06  1.79972e-06      11.7288        1
   215        1   5.4772e-07  4.55627e-07      2.96934        2
   216        4  5.19381e-06  5.07131e-06        33.05        2
   217       77  0.000116953  0.000112378      732.376        2
   218        2  1.40207e-06  8.53905e-07      5.56494        1
   219        2  1.40464e-06  1.35959e-06      8.86051        4
   220        1   4.8166e-07  2.43068e-07      1.58409        2
   221       52   4.9693e-05  4.63132e-05      301.826        4
   222       57  0.000101053  0.000101878      663.943        7
   223        1   1.0904e-06  7.97113e-07      5.19483        3
   224        1  6.93783e-07  6.53294e-07      4.25755        3
   225        1   1.1088e-06  1.09836e-06      7.15808        3
   226        8  9.82215e-06  8.96229e-06      58.4077        8
   227       29  3.21429e-05  3.09923e-05      201.979        5
   228       16  1.43925e-05  1.22551e-05      79.8673        3
   229       36  4.61351e-05  4.44407e-05      289.622        8
   230       34  8.20826e-05  8.56827e-05      558.399        5
   231      619    0.0012285   0.00127937      8337.74       14
   232       97  0.000251748  0.000262414      1710.17        5
   233        5  5.52338e-06  5.00087e-06      32.5909        5
   234        1  5.32997e-07  4.95705e-07      3.23054        2
   235        6   4.9584e-06  4.90594e-06      31.9723        5
   236        4  6.20571e-06  6.03662e-06       39.341        3
   237        1  6.44857e-07  5.64766e-07      3.68061        3
   238        1  1.44362e-06  1.40957e-06      9.18626        3
